"","title","tags"
"1","Do schools kill creativity?","children"
"2","Do schools kill creativity?","creativity"
"3","Do schools kill creativity?","culture"
"4","Do schools kill creativity?","dance"
"5","Do schools kill creativity?","education"
"6","Do schools kill creativity?","parenting"
"7","Do schools kill creativity?","teaching"
"8","Averting the climate crisis","alternativeenergy"
"9","Averting the climate crisis","cars"
"10","Averting the climate crisis","climatechange"
"11","Averting the climate crisis","culture"
"12","Averting the climate crisis","environment"
"13","Averting the climate crisis","globalissues"
"14","Averting the climate crisis","science"
"15","Averting the climate crisis","sustainability"
"16","Averting the climate crisis","technology"
"17","Simplicity sells","computers"
"18","Simplicity sells","entertainment"
"19","Simplicity sells","interfacedesign"
"20","Simplicity sells","media"
"21","Simplicity sells","music"
"22","Simplicity sells","performance"
"23","Simplicity sells","simplicity"
"24","Simplicity sells","software"
"25","Simplicity sells","technology"
"26","Greening the ghetto","MacArthurgrant"
"27","Greening the ghetto","activism"
"28","Greening the ghetto","business"
"29","Greening the ghetto","cities"
"30","Greening the ghetto","environment"
"31","Greening the ghetto","green"
"32","Greening the ghetto","inequality"
"33","Greening the ghetto","politics"
"34","Greening the ghetto","pollution"
"35","The best stats you've ever seen","Africa"
"36","The best stats you've ever seen","Asia"
"37","The best stats you've ever seen","Google"
"38","The best stats you've ever seen","demo"
"39","The best stats you've ever seen","economics"
"40","The best stats you've ever seen","globaldevelopment"
"41","The best stats you've ever seen","globalissues"
"42","The best stats you've ever seen","health"
"43","The best stats you've ever seen","math"
"44","The best stats you've ever seen","statistics"
"45","The best stats you've ever seen","visualizations"
"46","Why we do what we do","business"
"47","Why we do what we do","culture"
"48","Why we do what we do","entertainment"
"49","Why we do what we do","goal-setting"
"50","Why we do what we do","motivation"
"51","Why we do what we do","potential"
"52","Why we do what we do","psychology"
"53","Letting go of God","Christianity"
"54","Letting go of God","God"
"55","Letting go of God","atheism"
"56","Letting go of God","comedy"
"57","Letting go of God","culture"
"58","Letting go of God","humor"
"59","Letting go of God","performance"
"60","Letting go of God","religion"
"61","Letting go of God","storytelling"
"62","Behind the design of Seattle's library","architecture"
"63","Behind the design of Seattle's library","collaboration"
"64","Behind the design of Seattle's library","culture"
"65","Behind the design of Seattle's library","design"
"66","Behind the design of Seattle's library","library"
"67","Let's teach religion -- all religion -- in schools","God"
"68","Let's teach religion -- all religion -- in schools","TEDBrainTrust"
"69","Let's teach religion -- all religion -- in schools","atheism"
"70","Let's teach religion -- all religion -- in schools","brain"
"71","Let's teach religion -- all religion -- in schools","cognitivescience"
"72","Let's teach religion -- all religion -- in schools","consciousness"
"73","Let's teach religion -- all religion -- in schools","evolution"
"74","Let's teach religion -- all religion -- in schools","philosophy"
"75","Let's teach religion -- all religion -- in schools","religion"
"76","A life of purpose","Christianity"
"77","A life of purpose","God"
"78","A life of purpose","culture"
"79","A life of purpose","happiness"
"80","A life of purpose","leadership"
"81","A life of purpose","motivation"
"82","A life of purpose","philanthropy"
"83","A life of purpose","religion"
"84","My wish: A call for open-source architecture","activism"
"85","My wish: A call for open-source architecture","architecture"
"86","My wish: A call for open-source architecture","collaboration"
"87","My wish: A call for open-source architecture","culture"
"88","My wish: A call for open-source architecture","design"
"89","My wish: A call for open-source architecture","disasterrelief"
"90","My wish: A call for open-source architecture","globalissues"
"91","My wish: A call for open-source architecture","invention"
"92","My wish: A call for open-source architecture","open-source"
"93","My wish: A call for open-source architecture","philanthropy"
"94","My wish: A global day of film","TEDPrize"
"95","My wish: A global day of film","art"
"96","My wish: A global day of film","culture"
"97","My wish: A global day of film","entertainment"
"98","My wish: A global day of film","film"
"99","My wish: A global day of film","globalissues"
"100","My wish: A global day of film","movies"
"101","My wish: A global day of film","peace"
"102","My wish: A global day of film","socialchange"
"103","My wish: A global day of film","storytelling"
"104","My wish: Help me stop pandemics","TEDPrize"
"105","My wish: Help me stop pandemics","collaboration"
"106","My wish: Help me stop pandemics","disease"
"107","My wish: Help me stop pandemics","ebola"
"108","My wish: Help me stop pandemics","globalissues"
"109","My wish: Help me stop pandemics","health"
"110","My wish: Help me stop pandemics","science"
"111","My wish: Help me stop pandemics","technology"
"112","The radical promise of the multi-touch interface","demo"
"113","The radical promise of the multi-touch interface","design"
"114","The radical promise of the multi-touch interface","interfacedesign"
"115","The radical promise of the multi-touch interface","technology"
"116","One Laptop per Child","children"
"117","One Laptop per Child","design"
"118","One Laptop per Child","education"
"119","One Laptop per Child","entrepreneur"
"120","One Laptop per Child","globalissues"
"121","One Laptop per Child","philanthropy"
"122","One Laptop per Child","socialchange"
"123","One Laptop per Child","technology"
"124","An 11-year-old's magical violin","entertainment"
"125","An 11-year-old's magical violin","music"
"126","An 11-year-old's magical violin","performance"
"127","An 11-year-old's magical violin","violin"
"128","An 11-year-old's magical violin","wunderkind"
"129","An 11-year-old's magical violin","youth"
"130","Improvising on piano, aged 14","creativity"
"131","Improvising on piano, aged 14","entertainment"
"132","Improvising on piano, aged 14","music"
"133","Improvising on piano, aged 14","performance"
"134","Improvising on piano, aged 14","piano"
"135","Improvising on piano, aged 14","wunderkind"
"136","Simple designs to save a life","MacArthurgrant"
"137","Simple designs to save a life","alternativeenergy"
"138","Simple designs to save a life","design"
"139","Simple designs to save a life","engineering"
"140","Simple designs to save a life","globalissues"
"141","Simple designs to save a life","industrialdesign"
"142","Simple designs to save a life","invention"
"143","Simple designs to save a life","simplicity"
"144","Organic design, inspired by nature","DNA"
"145","Organic design, inspired by nature","biology"
"146","Organic design, inspired by nature","creativity"
"147","Organic design, inspired by nature","design"
"148","Organic design, inspired by nature","industrialdesign"
"149","Organic design, inspired by nature","invention"
"150","Organic design, inspired by nature","nature"
"151","Organic design, inspired by nature","productdesign"
"152","Organic design, inspired by nature","scienceandart"
"153","The birth of Wikipedia","business"
"154","The birth of Wikipedia","collaboration"
"155","The birth of Wikipedia","culture"
"156","The birth of Wikipedia","invention"
"157","The birth of Wikipedia","media"
"158","The birth of Wikipedia","open-source"
"159","The birth of Wikipedia","technology"
"160","The birth of Wikipedia","wikipedia"
"161","The birth of the open-source learning revolution","business"
"162","The birth of the open-source learning revolution","collaboration"
"163","The birth of the open-source learning revolution","culture"
"164","The birth of the open-source learning revolution","globalissues"
"165","The birth of the open-source learning revolution","library"
"166","The birth of the open-source learning revolution","open-source"
"167","The birth of the open-source learning revolution","technology"
"168","Nerdcore comedy","collaboration"
"169","Nerdcore comedy","comedy"
"170","Nerdcore comedy","community"
"171","Nerdcore comedy","culture"
"172","Nerdcore comedy","dance"
"173","Nerdcore comedy","demo"
"174","Nerdcore comedy","entertainment"
"175","Nerdcore comedy","humor"
"176","Nerdcore comedy","performance"
"177","Nerdcore comedy","software"
"178","Meet the founder of the blog revolution","business"
"179","Meet the founder of the blog revolution","communication"
"180","Meet the founder of the blog revolution","community"
"181","Meet the founder of the blog revolution","culture"
"182","Meet the founder of the blog revolution","design"
"183","Meet the founder of the blog revolution","entertainment"
"184","Meet the founder of the blog revolution","software"
"185","Meet the founder of the blog revolution","storytelling"
"186","Why we love, why we cheat","cognitivescience"
"187","Why we love, why we cheat","culture"
"188","Why we love, why we cheat","evolution"
"189","Why we love, why we cheat","gender"
"190","Why we love, why we cheat","love"
"191","Why we love, why we cheat","psychology"
"192","Why we love, why we cheat","relationships"
"193","Why we love, why we cheat","science"
"194","Happiness in body and soul","culture"
"195","Happiness in body and soul","entertainment"
"196","Happiness in body and soul","gender"
"197","Happiness in body and soul","globalissues"
"198","Happiness in body and soul","happiness"
"199","Happiness in body and soul","performance"
"200","Happiness in body and soul","storytelling"
"201","Happiness in body and soul","theater"
"202","Happiness in body and soul","women"
"203","Chemical scum that dream of distant quasars","climatechange"
"204","Chemical scum that dream of distant quasars","cosmos"
"205","Chemical scum that dream of distant quasars","culture"
"206","Chemical scum that dream of distant quasars","environment"
"207","Chemical scum that dream of distant quasars","globalissues"
"208","Chemical scum that dream of distant quasars","physics"
"209","Chemical scum that dream of distant quasars","science"
"210","Chemical scum that dream of distant quasars","technology"
"211","Chemical scum that dream of distant quasars","universe"
"212","Why the universe seems so strange","astronomy"
"213","Why the universe seems so strange","biology"
"214","Why the universe seems so strange","cognitivescience"
"215","Why the universe seems so strange","cosmos"
"216","Why the universe seems so strange","evolution"
"217","Why the universe seems so strange","physics"
"218","Why the universe seems so strange","psychology"
"219","Why the universe seems so strange","science"
"220","The freakonomics of crack dealing","business"
"221","The freakonomics of crack dealing","cities"
"222","The freakonomics of crack dealing","culture"
"223","The freakonomics of crack dealing","economics"
"224","The freakonomics of crack dealing","narcotics"
"225","The freakonomics of crack dealing","race"
"226","Choice, happiness and spaghetti sauce","business"
"227","Choice, happiness and spaghetti sauce","choice"
"228","Choice, happiness and spaghetti sauce","consumerism"
"229","Choice, happiness and spaghetti sauce","culture"
"230","Choice, happiness and spaghetti sauce","economics"
"231","Choice, happiness and spaghetti sauce","food"
"232","Choice, happiness and spaghetti sauce","marketing"
"233","Choice, happiness and spaghetti sauce","media"
"234","Choice, happiness and spaghetti sauce","storytelling"
"235","The surprising science of happiness","TEDBrainTrust"
"236","The surprising science of happiness","brain"
"237","The surprising science of happiness","choice"
"238","The surprising science of happiness","culture"
"239","The surprising science of happiness","evolution"
"240","The surprising science of happiness","happiness"
"241","The surprising science of happiness","psychology"
"242","The surprising science of happiness","science"
"243","The paradox of choice","business"
"244","The paradox of choice","choice"
"245","The paradox of choice","culture"
"246","The paradox of choice","decision-making"
"247","The paradox of choice","economics"
"248","The paradox of choice","happiness"
"249","The paradox of choice","personalgrowth"
"250","The paradox of choice","potential"
"251","The paradox of choice","psychology"
"252","Meet the future of cancer research","cancer"
"253","Meet the future of cancer research","disease"
"254","Meet the future of cancer research","health"
"255","Meet the future of cancer research","science"
"256","Meet the future of cancer research","technology"
"257","Meet the future of cancer research","wunderkind"
"258","A roadmap to end aging","aging"
"259","A roadmap to end aging","biotech"
"260","A roadmap to end aging","disease"
"261","A roadmap to end aging","engineering"
"262","A roadmap to end aging","future"
"263","A roadmap to end aging","healthcare"
"264","A roadmap to end aging","science"
"265","A roadmap to end aging","technology"
"266","How mobile phones can fight poverty","alternativeenergy"
"267","How mobile phones can fight poverty","business"
"268","How mobile phones can fight poverty","communication"
"269","How mobile phones can fight poverty","culture"
"270","How mobile phones can fight poverty","globaldevelopment"
"271","How mobile phones can fight poverty","globalissues"
"272","How mobile phones can fight poverty","invention"
"273","How mobile phones can fight poverty","investment"
"274","How mobile phones can fight poverty","microfinance"
"275","How mobile phones can fight poverty","poverty"
"276","How mobile phones can fight poverty","technology"
"277","How mobile phones can fight poverty","telecom"
"278","How mobile phones can fight poverty","transportation"
"279","Invest in Africa's own solutions","Africa"
"280","Invest in Africa's own solutions","TEDBrainTrust"
"281","Invest in Africa's own solutions","business"
"282","Invest in Africa's own solutions","culture"
"283","Invest in Africa's own solutions","entrepreneur"
"284","Invest in Africa's own solutions","globaldevelopment"
"285","Invest in Africa's own solutions","investment"
"286","Invest in Africa's own solutions","microfinance"
"287","Invest in Africa's own solutions","philanthropy"
"288","Invest in Africa's own solutions","poverty"
"289","Why we should invest in a free press","business"
"290","Why we should invest in a free press","culture"
"291","Why we should invest in a free press","globalissues"
"292","Why we should invest in a free press","investment"
"293","Why we should invest in a free press","media"
"294","Why we should invest in a free press","philanthropy"
"295","How to rebuild a broken state","business"
"296","How to rebuild a broken state","corruption"
"297","How to rebuild a broken state","culture"
"298","How to rebuild a broken state","economics"
"299","How to rebuild a broken state","entrepreneur"
"300","How to rebuild a broken state","globaldevelopment"
"301","How to rebuild a broken state","globalissues"
"302","How to rebuild a broken state","investment"
"303","How to rebuild a broken state","military"
"304","How to rebuild a broken state","policy"
"305","How to rebuild a broken state","politics"
"306","How to rebuild a broken state","poverty"
"307","The real future of space exploration","NASA"
"308","The real future of space exploration","aircraft"
"309","The real future of space exploration","business"
"310","The real future of space exploration","design"
"311","The real future of space exploration","engineering"
"312","The real future of space exploration","entrepreneur"
"313","The real future of space exploration","flight"
"314","The real future of space exploration","industrialdesign"
"315","The real future of space exploration","invention"
"316","The real future of space exploration","rocketscience"
"317","Why did I ski to the North Pole?","climatechange"
"318","Why did I ski to the North Pole?","culture"
"319","Why did I ski to the North Pole?","exploration"
"320","Why did I ski to the North Pole?","globalissues"
"321","Why did I ski to the North Pole?","personalgrowth"
"322","Why did I ski to the North Pole?","potential"
"323","Why did I ski to the North Pole?","sports"
"324","Why did I ski to the North Pole?","technology"
"325","Why did I ski to the North Pole?","travel"
"326","My wish: Three actions for Africa","AIDS"
"327","My wish: Three actions for Africa","Africa"
"328","My wish: Three actions for Africa","activism"
"329","My wish: Three actions for Africa","entertainment"
"330","My wish: Three actions for Africa","globalissues"
"331","My wish: Three actions for Africa","philanthropy"
"332","My wish: Three actions for Africa","poverty"
"333","My wish: Three actions for Africa","socialchange"
"334","My wish: Manufactured landscapes and green education","TEDPrize"
"335","My wish: Manufactured landscapes and green education","art"
"336","My wish: Manufactured landscapes and green education","cities"
"337","My wish: Manufactured landscapes and green education","culture"
"338","My wish: Manufactured landscapes and green education","design"
"339","My wish: Manufactured landscapes and green education","environment"
"340","My wish: Manufactured landscapes and green education","photography"
"341","My wish: Manufactured landscapes and green education","pollution"
"342","My wish: Manufactured landscapes and green education","socialchange"
"343","My wish: Three unusual medical inventions","TEDPrize"
